Startup,Industry,SubVertical,City,Investors,InvestmentType,Date,InvestmentAmount
CloudLabs,SaaS,DevTools,Hyderabad,Elevation Capital,Pre-Seed,2022-12-29,1.2933
Udaan,Mobility,EV,Delhi,"Accel, Sequoia Capital India",Series B,2024-03-21,128.79352
HealthAnalytics,Consumer Electronics,Wearables,Delhi,"Accel, Tiger Global",Bridge,2021-06-01,1.35078
NeoLabs,RealEstate,Rental Tech,Bengaluru,"Accel, Peak XV",Seed,2024-07-19,3.5446
LogiMart,Retail,Grocery,Ahmedabad,Bessemer Venture Partners,Series A,2023-06-20,14.0347
QuantumAnalytics,Consumer Electronics,Wearables,Ahmedabad,"Omidyar Network, Ribbit Capital",Debt,2021-09-17,140.1075
Practo,Retail,E-Retail,Gurugram,Matrix Partners India,Seed,2020-06-15,0.63228
Dunzo,HealthTech,Telemedicine,Chennai,"Elevation Capital, Matrix Partners India",Series A,2023-05-01,138.68966
HealthAnalytics,Consumer Electronics,Audio,Gurugram,"Bessemer Venture Partners, Lightspeed India, Omidyar Network",Angel,2024-06-01,0.48858
Porter,Mobility,Ride Sharing,Delhi,Tiger Global,Angel,2024-08-19,0.08622
Dream11,Retail,Grocery,Ahmedabad,Info Edge,Series B,2023-03-11,48.63766
InMobi,Media,Content,Chennai,"Accel, Mirae Asset",Bridge,2022-10-21,9.69496
Razorpay,FoodTech,Grocery,Pune,Lightspeed India,Series A,2020-02-22,64.97156
DataAnalytics,RealEstate,Home Services,Ahmedabad,Mirae Asset,Pre-Seed,2024-03-28,1.02506
Ola,Logistics,Last Mile,Ahmedabad,"Mirae Asset, Tiger Global Management",Series A,2024-07-25,77.34892
Freshworks,SaaS,HRTech,Mumbai,"Elevation Capital, Kedaara Capital",Series D,2021-11-06,568.0461
FoodFit,Mobility,Ride Sharing,Kolkata,Nexus Venture Partners,Seed,2021-05-31,1.80104
CoreConnect,Enterprise,Analytics,Noida,Falcon Edge,Series A,2020-04-21,13.11502
Chargebee,RealEstate,Home Services,Bengaluru,Peak XV,Seed,2023-01-29,11.56306
Dailyhunt,Media,Content,Mumbai,"Bessemer Venture Partners, Kedaara Capital",Pre-Seed,2023-07-14,0.80472
FreshTech,Mobility,EV,Mumbai,Info Edge,Seed,2024-09-19,1.61902
Housejoy,RealEstate,PropTech,Kolkata,"Kalaari Capital, Kedaara Capital",Angel,2021-08-20,0.05748
AgriHive,EdTech,Coding Bootcamp,Noida,"Falcon Edge, IFC",Seed,2021-01-25,1.50406
CRED,Logistics,Supply Chain,Pune,Zodius Capital,Angel,2022-11-05,0.12454
HealthAnalytics,Enterprise,Automation,Ahmedabad,Info Edge,Debt,2022-09-29,89.2377
AgriHive,Mobility,Micro Mobility,Chennai,Tiger Global Management,Series A,2021-10-21,53.84918
MediWorks,EdTech,Coding Bootcamp,Bengaluru,"LCatterton, Tiger Global Management, Y Combinator",Seed,2022-08-26,12.63602
WorkPay,FinTech,Lending,Noida,IFC,Bridge,2021-11-10,2.7303
Dailyhunt,E-commerce,Grocery,Kolkata,"IFC, Tiger Global Management",Pre-Seed,2020-10-22,0.24908
Dunzo,Consumer Electronics,Wearables,Pune,"Accel, Prosus Ventures, SoftBank Vision Fund",Series A,2022-03-25,66.102
QuantumAnalytics,RealEstate,Rental Tech,Kolkata,"Ribbit Capital, Tiger Global",Growth,2020-03-14,3566.91182
SmartTech,Media,Social,Chennai,"Accel, Blume Ventures, Kedaara Capital",Bridge,2024-04-06,3.79368
Delhivery,FinTech,Payments,Pune,Y Combinator,Series C,2021-08-23,1545.69468
GreenConnect,FoodTech,Grocery,Delhi,"IFC, Ribbit Capital",Seed,2020-06-10,2.96022
MediWorks,AgriTech,Supply Chain,Gurugram,"Matrix Partners India, Sequoia Capital India",Series A,2021-06-04,39.46002
InMobi,Logistics,Fleet Management,Noida,Tiger Global Management,Seed,2022-06-23,2.31836
Delhivery,RealEstate,Home Services,Hyderabad,Tiger Global Management,Series A,2021-09-10,10.26018
AgriHive,FoodTech,Grocery,Pune,Sequoia Capital India,Series A,2023-12-03,12.82762
AutoMart,AgriTech,Marketplace,Bengaluru,"LCatterton, Zodius Capital",Angel,2024-03-06,0.0479
HomeFoods,SaaS,DevTools,Gurugram,"Nexus Venture Partners, Prosus Ventures, Ventures India",Series A,2023-10-20,53.68632
Wakefit,RealEstate,Rental Tech,Bengaluru,Omidyar Network,Seed,2022-06-21,1.52322
LogiSense,Logistics,Supply Chain,Chennai,"IFC, Y Combinator",Seed,2020-09-27,3.12308
AeroAnalytics,Enterprise,Analytics,Hyderabad,"Elevation Capital, Tiger Global Management",Angel,2025-04-17,0.72808
BlueSpace,Consumer Electronics,Audio,Delhi,"Kedaara Capital, Tiger Global Management",Series C,2021-04-07,376.34072
Mobikwik,E-commerce,Fashion,Bengaluru,"Ventures India, Y Combinator",Seed,2020-09-10,2.17466
CureFit,AgriTech,Smart Farming,Pune,"IFC, Sequoia Capital India",Seed,2021-04-23,7.77896
NeoSense,EdTech,Test Prep,Kolkata,"Kalaari Capital, Nexus Venture Partners, Peak XV",Angel,2021-09-10,0.0958
Oyo,Consumer Electronics,Audio,Mumbai,Kalaari Capital,Seed,2023-01-05,0.63228
Nykaa,RealEstate,Rental Tech,Noida,"Accel, Blume Ventures, Kalaari Capital",Pre-Series A,2024-02-29,1.8681
NeoLabs,Logistics,Last Mile,Pune,IFC,Seed,2022-06-29,0.87178
Practo,RealEstate,Home Services,Noida,Tiger Global,Angel,2023-08-13,0.77598
SkillSolutions,E-commerce,Fashion,Mumbai,"Bessemer Venture Partners, Omidyar Network, Sequoia Capital India",Series B,2023-08-07,450.20252
HomeMart,Retail,Fashion,Gurugram,Lightspeed India,Seed,2024-04-16,4.95286
PharmEasy,SaaS,DevTools,Ahmedabad,Tiger Global Management,Pre-Seed,2024-10-24,1.42742
AutoStack,E-commerce,Quick Commerce,Delhi,Omidyar Network,Pre-Seed,2024-06-05,1.21666
PhonePe,HealthTech,Pharmacy,Bengaluru,"Accel, Tiger Global",Seed,2022-05-12,0.958
EduMart,Mobility,Micro Mobility,Mumbai,"Bessemer Venture Partners, Tiger Global",Series A,2021-03-29,107.42054
Oyo,Consumer Electronics,Smart Home,Bengaluru,"Accel, Info Edge",Seed,2022-09-07,3.50628
Ola,E-commerce,Quick Commerce,Pune,Elevation Capital,Series A,2020-05-14,85.3099
NeoSense,AgriTech,Marketplace,Hyderabad,"Accel, Kedaara Capital",Series A,2023-05-24,108.45518
GreenEdge,EdTech,Coding Bootcamp,Pune,"Kedaara Capital, SoftBank Vision Fund",Series C,2022-03-27,453.31602
HyperLabs,SaaS,DevTools,Kolkata,Accel,Seed,2024-08-30,0.7185
Wakefit,Media,Streaming,Pune,Omidyar Network,Series C,2023-02-13,355.19766
FreshBox,FoodTech,Food Delivery,Chennai,Tiger Global Management,Growth,2024-01-16,1478.61552
FreshTech,AgriTech,Marketplace,Gurugram,IFC,Seed,2022-09-14,9.79076
NextFlow,SaaS,B2B SaaS,Hyderabad,"Tiger Global Management, Zodius Capital",Series A,2024-07-11,98.54946
GrowthFlow,RealEstate,Rental Tech,Hyderabad,"LCatterton, Ventures India, Y Combinator",Pre-Seed,2021-07-13,0.1916
BlueTech,AgriTech,Marketplace,Chennai,"Accel, Falcon Edge, Tiger Global Management",Seed,2024-02-26,3.15182
UrbanSolutions,SaaS,DevTools,Pune,"IFC, Omidyar Network",Seed,2021-10-26,2.23214
HyperLoop,AgriTech,Supply Chain,Mumbai,"Info Edge, Mirae Asset",Seed,2023-09-17,1.08254
SkillFlow,Mobility,Ride Sharing,Pune,"Mirae Asset, Prosus Ventures",Pre-Series A,2021-08-03,1.26456
FarmFit,AgriTech,Supply Chain,Bengaluru,Ventures India,Seed,2025-04-20,1.66692
CloudSolutions,E-commerce,Quick Commerce,Kolkata,Y Combinator,Series B,2020-12-25,654.19904
HomeFoods,Enterprise,Automation,Pune,"LCatterton, Sequoia Capital India, Tiger Global",Seed,2024-10-30,1.5807
HyperLabs,AgriTech,Smart Farming,Chennai,Tiger Global Management,Seed,2022-04-09,3.24762
Lenskart,Retail,Fashion,Kolkata,Accel,Series D,2025-02-26,2417.43636
AeroStack,AgriTech,Smart Farming,Noida,Ventures India,Seed,2024-11-17,1.82978
HomeAnalytics,HealthTech,Telemedicine,Noida,"Bessemer Venture Partners, Lightspeed India",Series B,2022-12-22,708.7284
NextFlow,Enterprise,Automation,Delhi,Lightspeed India,Seed,2020-10-26,16.67878
HyperLoop,RealEstate,PropTech,Delhi,"A91 Partners, Mirae Asset",Bridge,2023-07-10,1.21666
EduMart,AgriTech,Marketplace,Ahmedabad,"Info Edge, Mirae Asset, SoftBank Vision Fund",Seed,2025-06-11,2.99854
Oyo,Retail,Grocery,Ahmedabad,SoftBank Vision Fund,Seed,2022-11-05,1.45616
EduBox,SaaS,HRTech,Mumbai,Omidyar Network,Series B,2025-06-24,105.51412
ClearDekho,FoodTech,Food Delivery,Ahmedabad,"Info Edge, LCatterton, Zodius Capital",Series A,2024-06-09,10.5859
FinFoods,Consumer Electronics,Smart Home,Delhi,Zodius Capital,Bridge,2022-07-11,4.54092
DataHive,E-commerce,Grocery,Delhi,"Falcon Edge, Tiger Global Management",Pre-Seed,2023-12-20,0.61312
NextSense,Logistics,Supply Chain,Chennai,"Ribbit Capital, Tiger Global",Series C,2023-10-22,220.26336
WorkStack,E-commerce,Grocery,Chennai,"Nexus Venture Partners, Omidyar Network, Tiger Global Management",Seed,2024-01-22,1.3412
HealthRise,HealthTech,Pharmacy,Hyderabad,"Kalaari Capital, Omidyar Network, Peak XV",Bridge,2023-12-01,13.66108
FreshTech,RealEstate,Home Services,Delhi,"Accel, LCatterton, Tiger Global Management",Series B,2024-08-24,93.0697
Innovaccer,Mobility,EV,Bengaluru,SoftBank Vision Fund,Pre-Series A,2021-01-04,1.3412
Myntra,EdTech,K12,Delhi,Falcon Edge,Seed,2021-08-28,2.91232
GrowthConnect,Retail,Fashion,Delhi,Blume Ventures,Series A,2020-11-11,138.22024
Dream11,Media,Content,Bengaluru,"Elevation Capital, Info Edge, Matrix Partners India",Pre-Series A,2023-10-17,1.6765
EduMart,EdTech,UpSkilling,Kolkata,Prosus Ventures,Angel,2021-02-01,0.35446
Dailyhunt,Consumer Electronics,Wearables,Chennai,Zodius Capital,Series A,2022-05-07,75.35628
FinSense,FinTech,InsurTech,Pune,"Elevation Capital, IFC, Zodius Capital",Series A,2020-07-29,18.23074
BharatPe,Logistics,Supply Chain,Noida,Peak XV,Seed,2022-06-14,7.03172
HomeAnalytics,SaaS,B2B SaaS,Chennai,Matrix Partners India,Seed,2022-10-25,1.85852
HealthRise,FinTech,WealthTech,Mumbai,Bessemer Venture Partners,Series D,2023-08-24,2054.1915
FinSense,Enterprise,Security,Delhi,"LCatterton, Omidyar Network",Series C,2022-08-18,1065.33432
PhonePe,Logistics,Last Mile,Delhi,"Accel, Falcon Edge",Series A,2024-01-29,40.87786
SmartTech,E-commerce,Quick Commerce,Gurugram,"Accel, Info Edge",Pre-Series A,2024-06-13,1.17834
Chargebee,AgriTech,Marketplace,Bengaluru,Kedaara Capital,Series B,2023-03-23,485.44734
Cars24,FoodTech,Cloud Kitchen,Ahmedabad,"Blume Ventures, Prosus Ventures",Pre-Series A,2023-03-14,2.00222
ShareChat,E-commerce,Grocery,Noida,"IFC, Sequoia Capital India",Series A,2022-11-05,15.87406
FarmFit,SaaS,HRTech,Bengaluru,Matrix Partners India,Pre-Series A,2020-05-18,1.0538
Zomato,Retail,Fashion,Pune,"Ribbit Capital, SoftBank Vision Fund",Seed,2021-12-22,4.23436
SmartMart,Consumer Electronics,Smart Home,Delhi,"Bessemer Venture Partners, Elevation Capital, Info Edge",Series C,2020-05-09,1200.24946
FarmFit,FinTech,WealthTech,Hyderabad,"Mirae Asset, Sequoia Capital India",Series A,2024-07-27,10.02068
FinFoods,Enterprise,Analytics,Pune,Info Edge,Seed,2024-06-25,3.17098
FoodFit,FoodTech,Food Delivery,Delhi,Peak XV,Series A,2022-10-15,17.69426
NextStack,Media,Content,Mumbai,A91 Partners,Series A,2024-08-11,54.97004
AgriSense,SaaS,HRTech,Hyderabad,"Blume Ventures, Info Edge",Series A,2024-01-09,15.36632
EduMart,Enterprise,Security,Ahmedabad,"Peak XV, Tiger Global, Tiger Global Management",Debt,2021-07-16,70.1735
CoreConnect,Retail,Fashion,Delhi,"Info Edge, Prosus Ventures",Bridge,2020-10-19,1.99264
FreshSolutions,Retail,Fashion,Pune,"Nexus Venture Partners, Sequoia Capital India",Pre-Series A,2025-04-28,8.27712
EduBox,SaaS,MarTech,Mumbai,Kalaari Capital,Series A,2022-12-20,13.90058
QuantumSolutions,E-commerce,Quick Commerce,Delhi,"Bessemer Venture Partners, Nexus Venture Partners",Series A,2022-03-03,24.12244
EduMart,AgriTech,Smart Farming,Kolkata,Info Edge,Seed,2020-10-04,0.72808
Ola,E-commerce,D2C,Pune,Elevation Capital,Series B,2023-01-31,621.9815
NextSense,Media,Streaming,Delhi,Nexus Venture Partners,Series C,2022-11-07,2061.70222
CloudPay,EdTech,Coding Bootcamp,Bengaluru,Mirae Asset,Pre-Series A,2023-03-18,1.73398
LogiSense,E-commerce,Quick Commerce,Hyderabad,"Kalaari Capital, Mirae Asset",Pre-Series A,2024-01-08,4.37806
Groww,HealthTech,Pharmacy,Mumbai,"IFC, SoftBank Vision Fund",Series A,2023-10-24,87.59952
BlueTech,HealthTech,Health Analytics,Noida,Falcon Edge,Angel,2020-04-23,0.24908
Oyo,HealthTech,Diagnostics,Pune,Peak XV,Angel,2021-04-06,0.22992
HealthAnalytics,Logistics,Last Mile,Noida,Omidyar Network,Seed,2023-07-04,1.16876
Bounce,Mobility,Micro Mobility,Delhi,Blume Ventures,Series A,2023-04-04,12.32946
BlueSpace,AgriTech,Supply Chain,Bengaluru,"Bessemer Venture Partners, Lightspeed India, Matrix Partners India",Seed,2025-04-26,13.11502
SkillRise,FinTech,InsurTech,Noida,Mirae Asset,Seed,2025-05-13,13.2683
CoreConnect,E-commerce,Quick Commerce,Delhi,"Lightspeed India, Omidyar Network",Series A,2022-09-18,53.20732
HyperLabs,SaaS,HRTech,Chennai,"A91 Partners, SoftBank Vision Fund",Seed,2022-01-28,1.6765
InMobi,E-commerce,D2C,Kolkata,Elevation Capital,Seed,2020-07-17,1.73398
AeroHub,FoodTech,Cloud Kitchen,Delhi,"Blume Ventures, Kedaara Capital",Series C,2025-03-27,1368.3114
NextSense,Mobility,EV,Kolkata,Accel,Growth,2022-10-15,5111.38984
DriveFit,EdTech,K12,Ahmedabad,Mirae Asset,Pre-Series A,2020-04-13,7.38618
CoreSpace,FinTech,Payments,Chennai,"Kalaari Capital, Tiger Global, Y Combinator",Seed,2021-06-25,8.50704
Udaan,AgriTech,Marketplace,Gurugram,Kalaari Capital,Pre-Series A,2021-08-14,4.20562
EduBox,Logistics,Fleet Management,Ahmedabad,Kalaari Capital,Seed,2025-06-19,0.65144
BlueSpace,SaaS,DevTools,Gurugram,Tiger Global,Series A,2022-04-02,14.83942
WorkStack,Mobility,EV,Delhi,SoftBank Vision Fund,Series A,2022-11-21,109.18326
FoodLoop,AgriTech,Marketplace,Hyderabad,"Falcon Edge, Kedaara Capital",Series A,2022-11-04,49.49986
Delhivery,Consumer Electronics,Audio,Pune,"Bessemer Venture Partners, Omidyar Network",Seed,2020-08-12,0.49816
GrowthFlow,Logistics,Fleet Management,Ahmedabad,Omidyar Network,Series A,2024-01-17,12.60728
Lenskart,Mobility,Micro Mobility,Ahmedabad,Zodius Capital,Series C,2022-02-17,1155.40548
HomeMart,Media,Social,Gurugram,"Nexus Venture Partners, Prosus Ventures",Pre-Seed,2021-10-04,0.1916
Flipkart,Mobility,Micro Mobility,Kolkata,"Lightspeed India, Nexus Venture Partners, Tiger Global",Growth,2024-02-15,732.21856
NeoSense,Consumer Electronics,Smart Home,Chennai,"LCatterton, SoftBank Vision Fund",Seed,2020-12-20,3.63082
AgriFit,Enterprise,Automation,Hyderabad,Elevation Capital,Series A,2021-01-28,62.38496
Delhivery,EdTech,UpSkilling,Hyderabad,"A91 Partners, Mirae Asset",Series B,2023-11-14,291.9984
SkillSolutions,AgriTech,Marketplace,Noida,"Peak XV, Zodius Capital",Pre-Series A,2025-06-30,1.60944
GreenConnect,Logistics,Fleet Management,Mumbai,"Lightspeed India, Matrix Partners India, Mirae Asset",Seed,2022-06-24,6.62936
SkillFlow,Media,Content,Delhi,"Matrix Partners India, Tiger Global",Seed,2024-02-26,1.1496
Zepto,RealEstate,PropTech,Bengaluru,"Mirae Asset, Nexus Venture Partners, Prosus Ventures",Seed,2021-11-07,1.59028
NextSense,Consumer Electronics,Wearables,Gurugram,Elevation Capital,Series C,2021-08-11,1446.56084
HealthWorks,E-commerce,Grocery,Gurugram,LCatterton,Series A,2024-01-20,55.64064
NoBroker,FoodTech,Cloud Kitchen,Bengaluru,"Blume Ventures, Ventures India",Debt,2022-03-24,187.6722
Cars24,FinTech,Payments,Hyderabad,Elevation Capital,Series A,2020-08-07,56.8573
NimbusLabs,HealthTech,Health Analytics,Hyderabad,Blume Ventures,Seed,2020-08-18,3.89906
LogiRise,Media,Social,Bengaluru,A91 Partners,Series B,2024-06-07,62.10714
CloudLabs,Enterprise,Automation,Chennai,Accel,Series C,2022-11-21,518.63246
Wakefit,HealthTech,Diagnostics,Kolkata,Matrix Partners India,Seed,2021-05-23,1.27414
FinSpace,Logistics,Supply Chain,Hyderabad,Matrix Partners India,Series A,2023-03-19,18.54688
ShareChat,Media,Social,Bengaluru,Blume Ventures,Series B,2022-08-11,711.14256
AeroAnalytics,Media,Content,Mumbai,Y Combinator,Series B,2025-04-10,142.4546
HomeAnalytics,HealthTech,Health Analytics,Delhi,Kalaari Capital,Series A,2023-05-25,107.27684
CoreSpace,Retail,Fashion,Gurugram,"Accel, IFC",Series C,2023-10-25,1058.45588
EduMart,SaaS,B2B SaaS,Ahmedabad,"LCatterton, Lightspeed India",Seed,2024-08-24,8.98604
WorkPay,Enterprise,Automation,Kolkata,"Accel, Falcon Edge, Omidyar Network",Seed,2021-02-24,3.05602
NimbusMart,Mobility,EV,Kolkata,"Prosus Ventures, SoftBank Vision Fund",Series A,2023-02-18,45.6966
DataAnalytics,Enterprise,Analytics,Gurugram,"SoftBank Vision Fund, Tiger Global",Series A,2020-04-02,36.3561
HealthWorks,E-commerce,Fashion,Bengaluru,Ventures India,Seed,2021-01-03,0.98674
QuantumDrive,FoodTech,Food Delivery,Chennai,"IFC, Nexus Venture Partners",Pre-Series A,2023-10-30,5.05824
Housejoy,HealthTech,Health Analytics,Noida,Zodius Capital,Seed,2025-06-27,1.35078
DataAnalytics,Consumer Electronics,Smart Home,Noida,Matrix Partners India,Pre-Series A,2022-02-15,1.01548
FoodSolutions,EdTech,Test Prep,Bengaluru,"IFC, Ventures India",Series C,2022-05-08,1100.34922
PhonePe,EdTech,K12,Mumbai,"Kedaara Capital, Omidyar Network",Seed,2020-03-09,0.91968
Postman,EdTech,Test Prep,Chennai,Ventures India,Series A,2023-01-10,122.29828
NimbusMart,Logistics,Last Mile,Ahmedabad,"IFC, Matrix Partners India, Zodius Capital",Seed,2023-05-09,16.16146
HomeAnalytics,Logistics,Last Mile,Noida,"Info Edge, LCatterton, Ribbit Capital",Bridge,2024-12-06,13.99638
NimbusLabs,SaaS,MarTech,Noida,"Nexus Venture Partners, Y Combinator",Seed,2022-05-02,1.87768
FarmBox,EdTech,UpSkilling,Delhi,A91 Partners,Series C,2025-02-16,199.7909
SkillRise,HealthTech,Health Analytics,Gurugram,"Accel, Info Edge, Y Combinator",Seed,2021-11-07,14.7053
FinFoods,FoodTech,Grocery,Ahmedabad,Blume Ventures,Series A,2024-11-24,30.54104
GreenEdge,Enterprise,Security,Hyderabad,Peak XV,Bridge,2020-02-01,16.94702
Housejoy,Media,Content,Gurugram,Kalaari Capital,Series B,2023-12-12,692.86392
MediWorks,Retail,Grocery,Chennai,SoftBank Vision Fund,Series A,2023-08-21,96.50892
ShareChat,Mobility,EV,Kolkata,"SoftBank Vision Fund, Ventures India",Seed,2024-01-19,1.41784
CoreFlow,FoodTech,Cloud Kitchen,Ahmedabad,Sequoia Capital India,Growth,2024-02-27,1323.44826
SkillRise,EdTech,UpSkilling,Gurugram,Mirae Asset,Pre-Series A,2024-09-02,6.8018
BlueSpace,Enterprise,Security,Kolkata,Blume Ventures,Series A,2024-02-09,22.59922
NeoLabs,Mobility,Micro Mobility,Bengaluru,Peak XV,Series A,2024-09-14,15.15556
Postman,Retail,E-Retail,Chennai,Tiger Global,Seed,2023-07-15,3.7362
WorkPay,Mobility,EV,Pune,"LCatterton, Peak XV, Prosus Ventures",Seed,2023-07-30,15.1364
PhonePe,FinTech,NeoBank,Noida,"Falcon Edge, Kedaara Capital",Pre-Series A,2020-02-04,4.76126
